,상호,주소,가격,셀프,상표,구
276,(주)태영 구도일주유소 한인,서울 중랑구 망우로 170 (상봉동),1697.0,Y,S-OIL,중랑구
277,신내주유소,서울 중랑구 용마산로 705 (신내동),1698.0,Y,SK에너지,중랑구
278,용마로주유소,서울 중랑구 용마산로 309 (면목동),1718.0,Y,SK에너지,중랑구
279,범아주유소,서울 중랑구 동일로 881 (묵동),1718.0,N,S-OIL,중랑구
280,신일셀프주유소,서울 중랑구 상봉로 58 (망우동),1758.0,Y,SK에너지,중랑구
281,화곡역주유소,서울 강서구 강서로 154 (화곡동),1662.0,Y,알뜰주유소,강서구
282,이케이에너지(주) 강서주유소,서울 강서구 화곡로 273 (화곡동),1662.0,Y,HD현대오일뱅크,강서구
283,씨앤에스유통(주) 마곡드림주유소,서울 강서구 방화대로 254(마곡동),1665.0,Y,S-OIL,강서구
284,유턴주유소,서울 강서구 남부순환로 57,1677.0,Y,알뜰주유소,강서구
285,목화주유소,서울 강서구 국회대로 251 (화곡동),1684.0,Y,알뜰주유소,강서구
286,뉴신정주유소,서울 강서구 곰달래로 207 (화곡동),1684.0,N,알뜰주유소,강서구
287,(주)타이거오일 방화주유소,서울 강서구 방화동로 58-2 (방화동),1694.0,Y,SK에너지,강서구
288,행촌에너지 공항주유소,서울 강서구 개화동로 420 (개화동),1695.0,Y,HD현대오일뱅크,강서구
289,스카이주유소,서울 강서구 개화동로 457 (방화동),1695.0,Y,S-OIL,강서구
290,강서오곡셀프주유소,서울 강서구 벌말로 254 (오곡동),1695.0,Y,SK에너지,강서구
291,현대오일뱅크 등촌주유소,서울 강서구 등촌로 189 (등촌동),1696.0,N,HD현대오일뱅크,강서구
292,HD현대오일뱅크㈜직영 양화교셀프주유소,서울 강서구 공항대로 653,1697.0,Y,HD현대오일뱅크,강서구
293,강서열린주유소,서울 강서구 등촌로 213 (등촌동),1698.0,N,GS칼텍스,강서구
294,오션네트웍스(주) 서울식물원지점,서울 강서구 양천로 300,1715.0,Y,SK에너지,강서구
295,개화주유소,서울 강서구 양천로 57,1717.0,Y,SK에너지,강서구
296,HD현대오일뱅크㈜직영 가양주유소,서울 강서구  양천로 391 (가양동),1717.0,N,HD현대오일뱅크,강서구
297,화곡현대주유소,서울 강서구 강서로 151 (화곡동),1725.0,Y,SK에너지,강서구
298,세원제1주유소,서울 강서구 양천로 311 (가양동),1735.0,Y,SK에너지,강서구
299,KH에너지(주)직영 KH외발산주유소,서울 강서구 방화대로 30,1735.0,Y,SK에너지,강서구
300,대성석유(주) 마곡대성주유소,서울 강서구 강서로 457,1738.0,Y,GS칼텍스,강서구
301,대성석유(주)방화대성주유소,서울 강서구 양천로 176,1738.0,Y,GS칼텍스,강서구
302,대성석유(주) 관문주유소,서울 강서구 공항대로 314,1738.0,N,GS칼텍스,강서구
303,우장산주유소,서울 강서구 강서로 292 (내발산동),1745.0,Y,SK에너지,강서구
304,신화곡주유소,서울 강서구 국회대로 71,1745.0,Y,S-OIL,강서구
305,지에스칼텍스㈜ 경인고속주유소,서울 강서구 국회대로 225 (화곡동),1749.0,Y,GS칼텍스,강서구
306,하이웨이주유소,서울특별시 강서구 공항대로 432(화곡동),1756.0,Y,S-OIL,강서구
307,대성주유소,서울 강서구 강서로 472,1758.0,N,GS칼텍스,강서구
308,SK KH에너지 가양주유소,서울 강서구 강서로 498 (가양동),1758.0,N,SK에너지,강서구
309,(주)한진 김포공항제2주유소,서울 강서구 하늘길 112,1769.0,Y,S-OIL,강서구
310,박물관주유소,서울 강서구 양천로53길 97 (가양동),1798.0,N,GS칼텍스,강서구
311,코리나(주)청룡주유소,서울 강서구 양천로 576,1798.0,N,SK에너지,강서구
312,참솔에너지,서울 강서구 벌말로 281 (오곡동),1835.0,Y,S-OIL,강서구
313,염창동주유소,서울 강서구 양천로 720 (염창동),1993.0,N,SK에너지,강서구
